Code,Area name,current cigarette smoker,ex-smoker,never smoked,Total,Rate
E09000002,Barking and Dagenham,26000,28000,86000,140000,19
E09000003,Barnet,49000,50000,187000,286000,17
E09000004,Bexley,22000,48000,117000,187000,12
E09000005,Brent,36000,35000,160000,231000,16
E09000006,Bromley,34000,62000,152000,248000,14
E09000007,Camden,32000,52000,112000,196000,16
E09000008,Croydon,32000,53000,184000,269000,12
E09000009,Ealing,27000,50000,165000,242000,11
E09000010,Enfield,36000,52000,151000,239000,15
E09000011,Greenwich,33000,41000,122000,196000,17
E09000012,Hackney,43000,39000,118000,200000,21
E09000013,Hammersmith and Fulham,20000,33000,92000,145000,14
E09000014,Haringey,32000,42000,132000,206000,16
E09000015,Harrow,18000,33000,143000,194000,-
E09000016,Havering,25000,50000,115000,190000,13
E09000017,Hillingdon,25000,42000,147000,214000,12
E09000018,Hounslow,24000,37000,129000,190000,13
E09000019,Islington,37000,39000,108000,184000,20
E09000020,Kensington and Chelsea,16000,32000,75000,123000,13
E09000021,Kingston upon Thames,20000,24000,86000,130000,15
E09000022,Lambeth,35000,55000,149000,239000,15
E09000023,Lewisham,34000,48000,135000,217000,16
E09000024,Merton,19000,38000,108000,165000,11
E09000025,Newham,46000,30000,165000,241000,19
E09000026,Redbridge,26000,28000,160000,214000,12
E09000027,Richmond upon Thames,14000,34000,95000,143000,-
E09000028,Southwark,28000,42000,161000,231000,12
E09000029,Sutton,18000,31000,95000,144000,13
E09000030,Tower Hamlets,43000,33000,142000,218000,20
E09000031,Waltham Forest,31000,29000,131000,191000,16
E09000032,Wandsworth,30000,48000,152000,230000,13
E09000033,Westminster,26000,44000,114000,184000,14
E12000001,North East,327000,563000,1126000,2016000,16
E12000002,North West,697000,1147000,2460000,4304000,16
E12000003,Yorkshire and The Humber,683000,1062000,2276000,4021000,17
E12000004,East Midlands,546000,928000,2016000,3490000,16
E12000005,West Midlands,603000,1026000,2607000,4236000,14
E12000006,East of England,650000,1287000,2628000,4565000,14
E12000007,London,939000,1306000,4194000,6439000,15
E12000008,South East,914000,1878000,3901000,6693000,14
E12000009,South West,573000,1270000,2345000,4188000,14
W92000004,Wales,386000,616000,1392000,2394000,16
S92000003,Scotland,677000,1060000,2404000,4141000,16
N92000002,Northern Ireland,226000,292000,849000,1367000,17
K02000001,UK,7388000,12705000,28835000,48928000,15
